identifier,metric,found_hit,score
Q9N0Z4,1,YES,58.1
Q8Y4B6,0,NO,0.0
Q9XN27,1,YES,14.1
Q1HRS5,0,NO,0.0
O94700,1,YES,90.9
Q9FH32,1,YES,136.1
Q24206,1,YES,143.9
Q84T08,0,YES,140.6
Q5B8Y4,1,YES,88.9
B2VCA4,1,YES,156.2
Q2KU30,0,YES,11.9
P17444,0,YES,295.2
Q3IR98,1,YES,73.1
P9WPU7,1,YES,400.3
Q9Z4S3,0,YES,211.9
Q84WK0,1,YES,111.2
O67828,1,YES,161.5
Q92G85,1,YES,46.9
Q5AVT9,0,NO,0.0
B8BLT3,1,YES,89.3
C3PFR5,1,YES,129.5
Q9NY43,1,YES,139.8
Q1QSC4,0,NO,0.0
A7YWC4,1,YES,96.9
B6JD06,1,YES,430.6
Q9C670,0,YES,143.1
Q9XUB2,1,YES,54.8
Q9U2M8,1,YES,278.3
B4M7J1,1,YES,193.2
Q9M0R0,0,YES,59.1
Q9STJ6,1,YES,51.3
A4GGB2,1,YES,397.1
Q5XVH0,1,YES,53.8
Q9LTS4,1,YES,41.0
Q9JM72,1,YES,114.1
Q9SN74,1,YES,59.4
O59868,1,YES,564.7
Q9FXD6,1,YES,293.0
P22016,1,YES,14.1
P13967,0,YES,11.6
Q7XAQ6,1,YES,94.0
Q9FT52,1,YES,34.6
A8EYC4,1,YES,139.1
B2SYY4,1,YES,103.5
Q4UK18,1,YES,149.0
Q9FPQ8,1,YES,57.9
Q9C9N3,1,YES,214.2
P30392,1,YES,400.8
A8MJV9,1,YES,156.6
Q8VZ22,1,YES,202.0
C1FZ15,1,YES,10.9
P21866,1,YES,160.6
Q91XV3,0,NO,0.0
Q9ER42,1,YES,83.1
A7HQY7,0,NO,0.0
A1AXU5,1,YES,44.0
B4RJF7,1,YES,47.2
Q9CAA9,0,YES,147.0
Q9LRJ4,1,YES,31.6
O58843,1,YES,88.8
B2A2G3,1,YES,128.5
C4LA16,1,YES,134.5
A7NIA3,1,YES,136.3
Q63943,1,YES,176.1
Q3EAI1,0,YES,102.3
P69229,1,YES,170.1
A6MMS9,1,YES,387.8
Q5M5J3,1,YES,390.2
Q0A4M2,0,NO,0.0
Q9ZWJ9,1,YES,387.9
Q8SPH6,0,YES,14.6
O78491,1,YES,159.6
P9WGN1,1,YES,157.8
Q9LZJ8,1,YES,149.9
Q49Z56,0,NO,0.0
A3P8M2,1,YES,158.8
P98196,1,YES,67.8
A0Q8D9,1,YES,159.8
Q6BK77,1,YES,15.5
Q5REW7,1,YES,199.6
B2SQB2,1,YES,385.4
B5ZAW1,1,YES,154.5
O22921,1,YES,278.1
P17614,1,YES,157.1
C3M9S3,1,YES,423.3
Q1GU79,0,NO,0.0
G3XMC5,1,YES,318.9
Q30QP9,1,YES,394.2
Q32PE7,1,YES,14.1
Q9D3D9,1,YES,8.8
P13585,1,YES,534.1
Q9SIW1,1,YES,242.4
P22809,1,YES,125.3
Q58L83,1,YES,80.0
P24898,1,YES,112.7
A7TR50,1,YES,540.8
Q24040,0,YES,20.4
A6L8N6,1,YES,33.4
Q07VU4,1,YES,162.1
Q6P9S1,1,YES,58.2
Q9SX99,1,YES,146.1
Q9SFZ3,1,YES,106.7
P07074,1,YES,17.7
Q9LDE2,1,YES,175.7
O65685,1,YES,242.2
Q9M9B9,1,YES,150.0
Q3E7L7,1,YES,110.1
Q8VDN2,1,YES,414.3
Q8GXT3,1,YES,113.9
Q6NBI2,1,YES,16.2
P48000,1,YES,57.6
Q85V57,1,YES,155.3
Q6FYM3,1,YES,147.0
Q36835,0,NO,0.0
Q9ZCY1,1,YES,130.2
Q8S897,1,YES,196.5
B8NLU5,1,YES,49.3
Q1GAW7,1,YES,384.2
Q8LAT0,1,YES,131.3
Q2STE9,1,YES,162.2
Q4QN62,1,YES,385.4
P53296,1,YES,379.5
Q9Z205,0,YES,245.0
Q9FLL0,1,YES,105.6
Q3KRE6,0,YES,126.8
