identifier,metric,found_hit
P74397,1,YES
Q04891,1,YES
O83049,1,YES
P59026,1,YES
P75811,1,YES
P65023,0,NO
P38177,1,YES
P27641,1,YES
Q00790,1,YES
Q7N976,1,YES
Q9Y794,1,YES
O83057,0,NO
P73625,1,YES
P25637,1,YES
O34926,1,YES
O83978,1,YES
P03040,0,YES
P29675,1,YES
P53659,0,YES
Q9TTJ5,1,YES
Q9ZVH3,1,YES
P11189,0,NO
P53091,1,YES
P35983,0,NO
Q90839,1,YES
P67434,1,YES
Q9JI57,1,YES
O08976,1,YES
P11634,1,YES
P40464,1,YES
P31119,1,YES
P48271,1,YES
P47352,1,YES
Q9PR96,0,NO
Q9H4I2,1,YES
P35841,1,YES
P52460,0,NO
P35165,1,YES
Q8ZYL6,1,YES
P18583,0,YES
Q13099,1,YES
P14816,1,YES
P08344,0,YES
Q92G85,1,YES
P14327,1,YES
Q9ZCX8,0,NO
P06129,1,YES
Q9BQW3,0,NO
O84905,1,YES
Q19272,1,YES
Q9C519,1,YES
P27336,1,YES
Q26486,1,YES
Q89B42,1,YES
P41895,1,YES
Q57921,1,YES
P75279,1,YES
P16400,1,YES
P15563,0,YES
Q01371,0,YES
P13335,0,YES
Q9U2T3,0,YES
Q9BXN1,1,YES
O83295,1,YES
P27391,0,NO
Q7V1D3,1,YES
Q08979,1,YES
Q53868,0,NO
P03264,1,YES
O07127,1,YES
Q06259,0,NO
P46676,0,NO
P54717,1,YES
P05476,1,YES
P08105,0,NO
P55658,1,YES
P04546,0,YES
Q57711,1,YES
Q00578,1,YES
Q24595,1,YES
Q9Z8A0,1,YES
P0A9G0,1,YES
Q01751,0,YES
P19880,1,YES
Q12999,1,YES
P22535,0,NO
Q9PLI1,1,YES
Q03961,0,YES
Q9CJ45,1,YES
O31690,1,YES
P32862,1,YES
P40796,1,YES
O83671,1,YES
P39419,0,NO
P13967,0,YES
P22931,1,YES
P03546,0,NO
P40523,1,YES
P06227,0,NO
O51093,0,NO
P0A3U6,1,YES
Q9YAA0,1,YES
P43609,1,YES
P55583,0,NO
P46100,1,YES
Q9JK30,1,YES
P62608,0,NO
P37874,0,NO
P35924,1,YES
Q9P6M2,1,YES
P33194,0,YES
P28322,1,YES
Q02854,0,NO
P52685,1,YES
P05845,0,NO
P30979,1,YES
P34257,1,YES
P47175,1,YES
P03220,0,NO
P28468,1,YES
P07695,0,YES
P45914,0,YES
Q9UKN8,0,YES
O67609,1,YES
P07903,1,YES
P45215,1,YES
Q61838,0,NO
Q09244,0,YES
Q92804,1,YES
Q84J78,1,YES
P32432,1,YES
Q08456,1,YES
O35003,1,YES
P19071,0,NO
P06925,0,NO
Q9HUW0,1,YES
P00429,1,YES
P37503,1,YES
O43612,0,YES
P45130,1,YES
P45187,1,YES
P03227,0,NO
P32140,1,YES
P04982,1,YES
P39678,1,YES
P21331,0,NO
Q57801,1,YES
P66812,1,YES
Q9UGB7,1,YES
P25976,1,YES
P08707,1,YES
Q24762,1,YES
Q9USZ2,1,YES
P41397,1,YES
Q00942,1,YES
P07676,0,NO
Q8KA58,1,YES
Q8TVI1,1,YES
P31502,0,NO
P15238,1,YES
P38334,1,YES
Q05153,1,YES
P57718,0,NO
P96051,1,YES
P39736,0,YES
P60008,1,YES
Q46087,1,YES
P45551,1,YES
O69302,1,YES
Q57966,1,YES
P06839,1,YES
Q9AK82,1,YES
P10030,0,NO
O43543,1,YES
P18809,0,NO
P39343,1,YES
Q8QZV0,1,YES
P40950,1,YES
P03008,1,YES
P67698,1,YES
Q9ER80,1,YES
P54486,0,NO
Q9AEQ5,0,YES
P20212,1,YES
P42247,0,NO
P10485,1,YES
O15315,1,YES
P06627,1,YES
O80294,1,YES
P42842,1,YES
Q9X5U0,1,YES
Q86DC6,1,YES
P57368,1,YES
P24001,0,NO
O66960,0,YES
O33683,0,NO
P32398,1,YES
P36299,1,YES
Q9HSM2,1,YES
Q00855,1,YES
P64945,0,NO
P51593,0,YES
P06018,1,YES
P25711,1,YES
P55519,1,YES
P64002,1,YES
O13606,1,YES
O28078,0,NO
Q64256,1,YES
O61365,1,YES
O66861,0,YES
Q8TU04,1,YES
Q9T1T3,0,NO
P22058,0,NO
P47101,1,YES
P32566,1,YES
Q10067,1,YES
Q95153,1,YES
P95979,1,YES
P16148,1,YES
P0A9V7,1,YES
P17531,1,YES
P22392,0,YES
O43261,1,YES
Q9RY51,1,YES
Q9VHR8,1,YES
Q9PR33,0,NO
P25210,1,YES
P22374,1,YES
Q8R4S5,1,YES
P0A9G2,1,YES
Q47279,1,YES
Q9UK96,1,YES
P0A9F0,1,YES
P05463,0,NO
Q57831,1,YES
Q58559,1,YES
Q99JF5,1,YES
Q9ZE59,0,YES
Q00852,1,YES
P38073,1,YES
Q93SF3,1,YES
P34226,1,YES
Q95YE9,1,YES
P14506,1,YES
Q9WUP0,1,YES
P74739,1,YES
Q15332,0,NO
P07621,1,YES
P26798,0,NO
Q01532,0,YES
P45333,0,YES
P19292,0,NO
Q15256,1,YES
Q9XD50,0,NO
Q50434,1,YES
P06716,1,YES
Q92G55,1,YES
Q9BXK5,1,YES
P27192,1,YES
P23914,1,YES
P12301,1,YES
P44296,0,NO
O13807,0,NO
P18193,0,NO
O66830,0,YES
P14248,1,YES
P23461,0,YES
P16757,0,NO
P08159,1,YES
Q9Z205,0,YES
P61978,1,YES
P53926,1,YES
Q9USY4,1,YES
Q14188,1,YES
Q38504,0,NO
P27343,0,NO
O64236,1,YES
P53528,1,YES
Q24167,1,YES
P40408,1,YES
P15969,0,NO
P36678,0,NO
Q9H5N1,1,YES
P20745,0,NO
Q9VPH2,1,YES
O14096,1,YES
O13360,1,YES
Q9Y5Q9,1,YES
Q27906,0,NO
Q09376,1,YES
O83685,1,YES
P53245,0,NO
Q01473,1,YES
P14904,1,YES
O51768,1,YES
P07277,1,YES
P12968,1,YES
P38305,1,YES
P68732,1,YES
P28640,1,YES
P13275,1,YES
Q9ZCW9,0,YES
Q9PRB3,1,YES
Q9P2W6,0,NO
P12552,1,YES
Q01856,1,YES
Q9C5P0,1,YES
P38813,1,YES
P06116,0,YES
P75384,1,YES
O33813,1,YES
P0ACG0,1,YES
Q05286,1,YES
P34252,0,YES
Q05266,1,YES
O93852,1,YES
P19287,1,YES
Q08775,1,YES
P20224,0,NO
O07634,0,YES
Q823K0,1,YES
Q04635,1,YES
P12876,0,NO
P13123,0,NO
Q9PRE2,1,YES
O28146,0,NO
O97764,0,YES
P76161,1,YES
P31449,1,YES
P69965,0,NO
Q22910,1,YES
P24647,1,YES
Q24849,1,YES
Q89B27,1,YES
P19881,1,YES
P03277,1,YES
O00287,0,YES
Q58183,0,YES
P38315,0,NO
P18679,0,NO
P43990,0,YES
P09397,0,YES
P11866,1,YES
Q57990,1,YES
P67705,1,YES
P56728,1,YES
P73532,1,YES
Q12287,1,YES
O13767,0,NO
Q9Y7L8,0,YES
P35692,1,YES
Q9HJQ0,1,YES
O31216,1,YES
P20398,0,NO
P66801,1,YES
P21678,0,NO
P36065,0,NO
P06225,1,YES
Q05594,0,YES
P25293,0,YES
P06701,1,YES
Q58965,1,YES
O83701,0,NO
P40082,0,NO
O05023,1,YES
Q8T0D4,1,YES
Q80H93,1,YES
Q9S3U8,1,YES
Q94890,1,YES
P39015,1,YES
P16140,0,YES
P55643,1,YES
O00488,0,YES
P23541,0,NO
Q9L6X9,0,YES
P34595,1,YES
P31624,0,NO
P0AD55,1,YES
Q06126,0,NO
Q08792,1,YES
Q57001,1,YES
Q57949,1,YES
Q24573,1,YES
P54177,1,YES
P42251,1,YES
Q3J170,1,YES
P22670,1,YES
P79051,1,YES
Q03607,1,YES
P0AE71,1,YES
P27739,0,NO
Q8L5Y9,1,YES
O83554,1,YES
Q09733,1,YES
O27941,0,YES
P15081,0,NO
P54796,0,NO
P33180,1,YES
P47927,1,YES
P23913,0,YES
P21867,1,YES
P25130,1,YES
P38081,1,YES
P34205,1,YES
P56557,0,NO
P25357,1,YES
P24607,1,YES
Q9ZAG3,1,YES
P19285,0,NO
P40814,1,YES
Q58485,0,NO
Q82BX4,1,YES
P67157,1,YES
P14044,0,YES
P54588,0,NO
P43684,0,NO
P03837,0,NO
Q57837,1,YES
Q9H2P0,1,YES
P0AAY4,0,NO
Q04222,1,YES
P19369,1,YES
O67915,0,NO
Q9PQK9,1,YES
P51979,1,YES
P18680,1,YES
Q99MZ3,1,YES
P08976,1,YES
P11536,1,YES
P30144,1,YES
P32389,1,YES
P59338,1,YES
P52958,1,YES
P29705,1,YES
P74892,1,YES
P22915,1,YES
P20313,1,YES
Q01012,1,YES
Q03182,0,NO
P43004,1,YES
P37530,1,YES
O94245,1,YES
P54269,1,YES
P34459,0,YES
P32553,0,YES
P33634,1,YES
P08557,1,YES
Q06565,0,NO
Q9VNA8,1,YES
P31463,1,YES
P47171,1,YES
Q9Y5B6,1,YES
P37556,1,YES
O75161,0,YES
Q23976,1,YES
P45285,1,YES
P17305,1,YES
P75175,0,NO
P22754,1,YES
Q8BZQ7,1,YES
Q9NR63,1,YES
P17211,1,YES
O28640,1,YES
P02255,1,YES
Q9UHP9,0,YES
Q9USR9,1,YES
P03023,1,YES
P28947,1,YES
Q9MAG6,1,YES
Q8K8I6,1,YES
P0A583,1,YES
O28838,1,YES
Q9Y4A0,0,YES
P23511,1,YES
P49997,1,YES
P38281,0,NO
O28773,1,YES
P10026,1,YES
Q04580,1,YES
P52127,1,YES
P01094,1,YES
Q64756,1,YES
P26488,1,YES
P20562,1,YES
Q09700,1,YES
P20949,0,NO
Q01962,0,NO
P0ABT3,1,YES
P17502,1,YES
Q9ZJZ2,1,YES
P33251,1,YES
P54078,1,YES
P53209,0,NO
P35201,1,YES
P20202,0,YES
Q9UI36,1,YES
Q05952,0,YES
P77365,1,YES
P30658,0,YES
Q9VGI8,1,YES
Q03496,0,NO
P52392,1,YES
P34259,1,YES
P42547,0,NO
P77136,0,NO
P0A3R9,1,YES
Q57765,0,NO
P55440,1,YES
O00841,1,YES
P16942,1,YES
P40163,0,NO
P23839,0,NO
P10961,1,YES
Q03935,1,YES
P09612,0,YES
P52528,0,NO
Q9RN13,1,YES
P64743,1,YES
P13976,1,YES
Q926A7,0,YES
P42507,1,YES
P36437,1,YES
P21681,1,YES
P57402,0,NO
P26305,0,YES
P09378,1,YES
P32338,1,YES
Q9NAH2,1,YES
P0A234,0,NO
Q24139,1,YES
O29347,1,YES
P12899,1,YES
P37928,1,YES
P15895,0,NO
P40331,1,YES
P10479,1,YES
P37938,1,YES
P02584,1,YES
Q57646,1,YES
P52348,1,YES
Q54450,0,YES
Q95QY7,1,YES
P96592,0,NO
P25992,1,YES
Q08210,1,YES
P03672,0,NO
P27556,1,YES
P14728,0,YES
Q16666,1,YES
P58700,1,YES
P31877,0,NO
Q51786,1,YES
O30332,1,YES
P04219,0,NO
O83467,0,YES
O75880,1,YES
Q57867,0,NO
P20227,1,YES
Q96JM2,1,YES
P0A9F5,1,YES
Q8LK56,1,YES
Q01529,0,NO
Q03248,1,YES
P03128,1,YES
Q02283,1,YES
Q9TV52,1,YES
Q8BHL5,1,YES
P21260,1,YES
P55554,0,NO
O34621,1,YES
O17582,1,YES
P14998,0,NO
Q05244,0,NO
P31125,0,NO
O05441,1,YES
P39127,1,YES
P47004,1,YES
Q8Y0Y3,1,YES
O10368,1,YES
P51705,1,YES
P14741,0,YES
Q24533,1,YES
Q28092,0,NO
P11556,0,NO
P15921,0,NO
P38273,0,YES
P89113,0,NO
Q99MT2,1,YES
P45464,0,NO
Q14805,0,NO
Q9ZJ29,1,YES
P04530,1,YES
Q03572,0,NO
P14269,1,YES
Q01900,0,YES
Q9ZDX7,0,NO
O43151,0,NO
P33122,1,YES
Q13316,0,NO
P0ACS1,1,YES
Q971T6,1,YES
P41422,1,YES
P16691,0,YES
P54788,1,YES
Q02827,1,YES
P54722,1,YES
P33786,1,YES
Q8TVA7,0,NO
O67702,0,NO
P07387,0,NO
P12827,0,YES
Q9BWW9,1,YES
P10238,0,NO
O93257,1,YES
P24536,0,NO
Q06423,1,YES
O04006,0,NO
P22560,1,YES
P40847,1,YES
O29848,0,NO
P10277,1,YES
P09775,1,YES
P0ACS8,1,YES
P56846,0,NO
Q07864,1,YES
P25959,1,YES
Q25297,1,YES
P23939,1,YES
Q52913,1,YES
Q57748,1,YES
Q9UHF7,1,YES
P17651,0,NO
O49498,1,YES
P03206,1,YES
P11117,1,YES
Q9P2Y4,1,YES
Q58006,1,YES
P53120,0,YES
P39230,1,YES
Q9U1H0,1,YES
Q92JH6,1,YES
Q10528,1,YES
O66516,0,NO
O27652,1,YES
P41843,1,YES
P06463,1,YES
Q92610,1,YES
P96335,1,YES
P12258,1,YES
P20549,0,NO
Q64028,1,YES
Q57733,1,YES
P37371,1,YES
P30734,1,YES
P12978,1,YES
Q50636,1,YES
Q9VJE5,1,YES
P35074,1,YES
P09804,1,YES
P35156,0,NO
Q10116,1,YES
Q9PR32,0,YES
P38784,1,YES
Q9Z3Q6,1,YES
Q87K77,1,YES
Q9BQ92,0,NO
O31663,1,YES
P62604,1,YES
P20585,1,YES
P10480,1,YES
P39416,1,YES
Q52997,0,YES
P20824,1,YES
O95158,0,YES
P25921,0,YES
P44076,1,YES
P72131,1,YES
P05552,1,YES
Q08592,1,YES
P06921,1,YES
P04892,1,YES
P67665,1,YES
P55147,1,YES
P75409,1,YES
Q9T1U6,1,YES
P46489,1,YES
Q92530,1,YES
O61735,1,YES
P27902,1,YES
P42411,0,YES
Q57829,0,YES
Q96KS9,1,YES
Q07817,0,YES
Q57889,1,YES
Q04893,0,YES
P10080,1,YES
Q04769,0,NO
P40685,0,NO
O96006,1,YES
P06022,1,YES
P24274,0,NO
Q10621,0,NO
O35892,1,YES
P0ACU8,1,YES
P22536,0,YES
Q9ZLL4,1,YES
Q8ZQD5,1,YES
P37554,1,YES
Q03513,0,YES
P03073,1,YES
P25728,0,NO
P03626,0,NO
Q17768,1,YES
Q95242,1,YES
O05519,0,YES
Q14103,1,YES
P23508,1,YES
P41046,1,YES
O43037,0,YES
Q49988,1,YES
P22562,1,YES
Q50533,0,YES
P74854,0,YES
Q01522,1,YES
Q00994,1,YES
P10180,1,YES
P13311,0,NO
Q12766,1,YES
P31436,0,NO
Q10095,1,YES
P64618,1,YES
Q91193,0,YES
Q57807,1,YES
P15579,1,YES
Q02991,1,YES
O82368,0,YES
O30138,0,NO
P45017,1,YES
Q92466,1,YES
P54394,1,YES
P92979,1,YES
Q55143,1,YES
Q8KRZ2,1,YES
O13988,1,YES
P25846,1,YES
P73246,0,NO
P55615,1,YES
Q58121,1,YES
Q8N2C9,0,NO
Q07608,0,YES
P83714,1,YES
Q8KGC5,0,YES
O28269,0,YES
P72929,1,YES
Q02930,1,YES
Q9BX26,1,YES
O16810,1,YES
P74373,1,YES
P38826,0,NO
P52168,1,YES
P27476,1,YES
P75551,1,YES
P50089,0,YES
P67671,1,YES
Q9ZM26,1,YES
Q57574,1,YES
Q9FXW5,1,YES
P36558,0,NO
Q88X36,1,YES
O83149,1,YES
O76332,0,NO
P37728,1,YES
P25545,1,YES
P48417,1,YES
P0AFJ0,0,NO
O13862,1,YES
P37376,0,NO
P46481,0,NO
Q8ED69,1,YES
P58497,1,YES
P05678,0,NO
P38285,1,YES
P19323,1,YES
P26328,1,YES
P13925,1,YES
P53895,1,YES
P27536,1,YES
Q45760,0,NO
P29590,0,YES
O67779,1,YES
P36720,1,YES
Q9V576,1,YES
P64753,0,YES
P52959,1,YES
P03048,0,NO
P30890,0,YES
P49415,1,YES
P03213,1,YES
Q00158,0,NO
P77774,1,YES
Q9ZL91,1,YES
P19060,1,YES
P42226,1,YES
P08161,0,NO
P26398,0,YES
P39389,1,YES
P03859,0,YES
P0ACE5,1,YES
