identifier,metric,found_hit
4FNHA,1,YES
4GWGA,1,YES
4G4SP,0,YES
3VYSC,1,YES
4EXWA,1,YES
4FJ6A,1,YES
4I1KA,1,YES
4G59A,1,YES
4GIQA,1,YES
4FZQA,0,YES
4LC2A,1,YES
3J21R,0,YES
4G6XA,1,YES
2LJ6A,1,YES
4GOSA,1,YES
3VZHA,0,NO
2L8DA,1,YES
3J27A,0,NO
4EQ6A,0,YES
3J20A,0,YES
4G7LA,1,YES
3J21k,1,YES
4DAMA,1,YES
4EQ6B,0,YES
2YNQA,0,NO
3ULXA,1,YES
3TEKA,0,NO
4HC6A,1,YES
4HPZA,1,YES
4HIDA,1,YES
4ICGC,1,YES
4HLXA,1,YES
4FE7A,1,YES
4JOIA,1,YES
3QODA,1,YES
4I1DA,1,YES
3V68A,0,NO
4GIJA,1,YES
4I99C,1,YES
4FMWA,0,YES
4AD8A,0,YES
2YO3A,1,YES
3R4KA,1,YES
4B9KC,1,YES
4E1RA,1,YES
4HY3A,1,YES
2LY4B,0,YES
2LW1A,1,YES
3V9RB,1,YES
2MA1A,1,YES
4HQFA,1,YES
3RLOA,1,YES
4H3HB,1,YES
4FL4C,1,YES
2LV4A,1,YES
2LVFA,1,YES
4AXQA,1,YES
2M0YA,1,YES
4GGDA,1,YES
4FW2A,1,YES
4G9QA,0,NO
4B6AM,0,NO
2LI6A,1,YES
4H7AA,0,NO
4HAOA,1,YES
4G1EB,1,YES
4B9JA,0,NO
4GNVA,1,YES
3V9RA,1,YES
3W03A,1,YES
4EOGA,0,YES
4G56B,0,YES
4H63F,0,YES
4HGAB,0,YES
3VPRA,1,YES
3VH5W,1,YES
3J21l,1,YES
4H5XA,1,YES
4GCWA,1,YES
3TRBA,1,YES
4B29A,0,NO
4DRAE,1,YES
4AXNA,1,YES
2LZEA,0,YES
3ZDWA,1,YES
3U4ZA,1,YES
4AY9B,1,YES
4HD0A,1,YES
4G4KA,1,YES
4BBKA,1,YES
4I8DA,1,YES
3S4WA,0,YES
4JQFA,1,YES
3TUOA,1,YES
3R0JA,1,YES
4FY11,1,YES
4G7HC,0,YES
4FIPA,1,YES
2LVSA,1,YES
3UWXB,1,YES
4GWPG,0,YES
4B2XA,1,YES
4HN8A,1,YES
3TOCA,1,YES
4GAKA,1,YES
4I99A,1,YES
3RCOA,0,NO
4G6DA,1,YES
3S5RA,1,YES
4B0EA,1,YES
4H79A,0,NO
2LYHA,1,YES
4G6DB,0,YES
4FLTA,0,YES
3ZQJA,1,YES
3U50C,1,YES
3W1SC,1,YES
3VK0A,1,YES
4GS3A,1,YES
3V4GA,1,YES
3J21a,0,YES
4IDUA,1,YES
3VH5A,1,YES
2YMBA,1,YES
4BHXA,1,YES
3ULJA,1,YES
4GF2A,0,NO
4JOIC,1,YES
4JOLA,0,YES
4GICA,1,YES
4A11A,0,NO
3S4WB,0,NO
4BJ1A,1,YES
3VYWA,1,YES
4HN9A,1,YES
4HAMA,0,YES
4AYFB,1,YES
2LXUA,0,YES
3W03C,1,YES
4FMZA,1,YES
4D8JA,1,YES
4G12A,1,YES
4GWPF,1,YES
4HD1A,1,YES
4ATHA,1,YES
4HPQC,1,YES
4HCEA,0,YES
4HWGA,1,YES
4FM4B,0,NO
4B4TI,1,YES
4ABXA,0,YES
4HVTA,1,YES
4FM4A,1,YES
4HESA,1,YES
4JLXA,1,YES
3J21P,1,YES
3UX8A,1,YES
4FQDA,1,YES
2YMVA,1,YES
4GVWA,0,YES
2LYVA,0,YES
4DKYA,1,YES
2LV9A,1,YES
3RH2A,1,YES
3VZIA,0,NO
3VIBA,1,YES
3SIAA,0,YES
4HWXA,1,YES
4G9JA,1,YES
3Q8DA,0,NO
2LUYA,0,YES
4G7XB,1,YES
3TB6A,1,YES
4IAOC,1,YES
4DG7A,1,YES
4BLFA,1,YES
3UQZA,1,YES
3U4VA,1,YES
3B0CT,1,YES
4ACOA,0,NO
3QU3A,1,YES
3AXJB,1,YES
4AZ1A,1,YES
2LYJA,1,YES
4B4TO,1,YES
4A11B,0,YES
