identifier,cluster
Q3ATX4,1
A1BDQ5,1
B3EM49,1
A4SG85,1
B3EFT6,1
B4SCX5,1
Q3B278,1
Q8KF74,1
B3QLI5,1
B3QSH0,1
Q3B7M4,2
Q3U133,2
Q6NUN9,2
Q3B8N5,3
Q8BII1,3
Q3BJS1,4
A2BGM5,4
Q96NZ1,4
Q8K3Q3,4
Q3E7L7,5
Q8LEG1,5
Q3E9T2,6
Q8VZQ9,6
Q3EDH0,7
Q3ICC5,8
Q3IQT6,9
B0R4Y2,9
Q00813,9
Q3ITK1,10
D4GY98,10
B9LU22,10
Q5UY84,10
Q3IU46,11
B0R7Q2,11
Q5UYM9,11
Q3J4E6,12
Q3J6K8,13
Q3JPP0,14
Q143F8,14
Q1BYA7,14
Q2SYA5,14
Q39IQ1,14
Q62HW8,14
Q63RQ7,14
Q3KSR5,15
P03217,15
Q1HVE7,15
Q3KSU3,16
P03191,16
Q9LTF7,17
Q9LUK7,18
Q9LV52,19
Q9LYB9,20
Q5XEN5,20
Q9LZA5,21
Q9LZJ8,22
Q9M041,23
Q9M0F8,24
Q9M128,25
Q9M1S9,26
Q9M219,27
Q9M2Q6,28
Q700W2,28
S4WUL1,28
Q9M2U1,29
Q9M644,30
Q9FZ90,30
Q9M7Q5,31
Q9M7Q2,31
Q9M8K6,32
Q9M9B9,33
Q9M9L8,34
Q9M9L7,34
A2YQ56,34
P93648,34
P93655,34
Q69UZ3,34
Q9M9P4,35
Q9MA98,36
Q9MAT6,37
Q9N3S4,38
Q9N4Q7,39
Q9NX45,40
Q3MHT3,40
Q9D489,40
Q9P2J8,41
Q9P2Z0,42
Q5NVM3,42
Q9P3W5,43
Q9P6R8,44
Q9P7J2,45
Q9P7S9,46
Q9P7V3,47
Q9P7W8,48
Q9PEV8,49
Q87AQ6,49
Q9PT68,50
Q9PRJ8,50
Q9PT67,50
Q5WM45,50
Q9PWR3,51
O93385,51
P97474,51
Q6QU75,51
Q99697,51
Q9R0W1,51
Q9W5Z2,51
Q9I8K3,51
O35160,51
O75364,51
P81062,51
P70314,51
P78337,51
Q99NA7,51
P56673,51
Q9U637,51
Q9W751,51
Q9QX72,52
Q96T21,52
Q9QY61,53
P78413,53
B7ZRT8,53
Q688D0,53
Q90XW6,53
Q9YGS0,53
Q9R1A9,54
Q9BQ50,54
Q9RS64,55
A2WZI4,56
A2X0Q6,57
A2YGR5,57
Q5Z818,57
A2X674,58
Q0E0A6,58
A2YQK9,59
Q38841,59
Q2QW55,59
A2Z0Q0,60
A3BYC1,60
A2Z1U1,61
Q67UE2,61
P46600,61
P46601,61
P92953,61
Q05466,61
P46602,61
Q7XC54,61
Q40691,61
A2Y931,61
P46665,61
Q0JB92,61
Q01I23,61
Q5VPE3,61
Q6YPD0,61
A2YW03,61
A2Z2J6,62
Q84PD8,62
A2Z734,63
A2XD08,63
Q8S7W9,63
A3B6V0,64
A3BH85,65
A3BKM2,66
A3C057,67
Q7EXZ2,67
A3CSG3,68
Q8PT42,68
A3DC28,69
A3DC74,70
A3DE67,71
A6TNX0,71
A8MHU4,71
Q189Q3,71
B8I1Z8,71
Q8R9D0,71
A3DH61,72
A3DH98,73
A3FPJ2,74
